mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_classifier__criterion,param_classifier__max_depth,param_classifier__min_samples_leaf,param_classifier__min_samples_split,param_classifier__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.22520895004272462,0.0052433857944816755,0.01556239128112793,0.0009345607919291206,gini,7,2,2,100,"{'classifier__criterion': 'gini', 'classifier__max_depth': 7, 'classifier__min_samples_leaf': 2, 'classifier__min_samples_split': 2, 'classifier__n_estimators': 100}",0.8525798525798526,0.9115479115479115,0.8888888888888888,0.8736842105263158,0.9015721120984279,0.8856545951282794,0.02083996420340358,40
0.4353212356567383,0.007930180211143051,0.023418903350830078,0.0016772785437512182,gini,7,2,2,200,"{'classifier__criterion': 'gini', 'classifier__max_depth': 7, 'classifier__min_samples_leaf': 2, 'classifier__min_samples_split': 2, 'classifier__n_estimators': 200}",0.8525798525798526,0.941031941031941,0.8888888888888888,0.8421052631578947,0.8873805932629462,0.8823973077843046,0.03469156517232964,64
0.2303795337677002,0.011492644446710049,0.01814546585083008,0.0031522784402148187,gini,7,2,5,100,"{'classifier__criterion': 'gini', 'classifier__max_depth': 7, 'classifier__min_samples_leaf': 2, 'classifier__min_samples_split': 5, 'classifier__n_estimators': 100}",0.8351802715779616,0.927437641723356,0.8732208363903154,0.8951147182768846,0.8873805932629462,0.8836668122462928,0.030069237677734548,53
0.4577371597290039,0.01969537931761683,0.025269508361816406,0.0031414958536893664,gini,7,2,5,200,"{'classifier__criterion': 'gini', 'classifier__max_depth': 7, 'classifier__min_samples_leaf': 2, 'classifier__min_samples_split': 5, 'classifier__n_estimators': 200}",0.8525798525798526,0.941031941031941,0.9013939838591343,0.878095238095238,0.8873805932629462,0.8920963217658222,0.029192331628525914,1
0.22642617225646972,0.01137202780266749,0.017117977142333984,0.0009341391936540941,gini,7,2,10,100,"{'classifier__criterion': 'gini', 'classifier__max_depth': 7, 'classifier__min_samples_leaf': 2, 'classifier__min_samples_split': 10, 'classifier__n_estimators': 100}",0.8525798525798526,0.8888888888888888,0.8888888888888888,0.8820638820638821,0.8873805932629462,0.8799604211368915,0.013918434607061785,75
0.4498770713806152,0.012409124097230712,0.023001623153686524,0.0020175498715910897,gini,7,2,10,200,"{'classifier__criterion': 'gini', 'classifier__max_depth': 7, 'classifier__min_samples_leaf': 2, 'classifier__min_samples_split': 10, 'classifier__n_estimators': 200}",0.8525798525798526,0.9142346634901727,0.8888888888888888,0.8820638820638821,0.8873805932629462,0.8850295760571484,0.01967302012412149,47
0.23157625198364257,0.0105443531682899,0.01641383171081543,0.001855547801672081,gini,7,4,2,100,"{'classifier__criterion': 'gini', 'classifier__max_depth': 7, 'classifier__min_samples_leaf': 4, 'classifier__min_samples_split': 2, 'classifier__n_estimators': 100}",0.8525798525798526,0.941031941031941,0.8732208363903154,0.8604425779357132,0.9085714285714286,0.88716932730185,0.03305916631896042,23
0.4420677661895752,0.016843154195572682,0.022533988952636717,0.0022833448149709506,gini,7,4,2,200,"{'classifier__criterion': 'gini', 'classifier__max_depth': 7, 'classifier__min_samples_leaf': 4, 'classifier__min_samples_split': 2, 'classifier__n_estimators': 200}",0.8525798525798526,0.927437641723356,0.8888888888888888,0.8736842105263158,0.9085714285714286,0.8902324044579684,0.026130104878572542,8
0.21411938667297364,0.0042670384268010736,0.015763235092163087,0.0029092420585552824,gini,7,4,5,100,"{'classifier__criterion': 'gini', 'classifier__max_depth': 7, 'classifier__min_samples_leaf': 4, 'classifier__min_samples_split': 5, 'classifier__n_estimators': 100}",0.8525798525798526,0.941031941031941,0.8732208363903154,0.8604425779357132,0.9085714285714286,0.88716932730185,0.03305916631896042,23
0.42374391555786134,0.002920509201297111,0.024074506759643555,0.0029400325172186386,gini,7,4,5,200,"{'classifier__criterion': 'gini', 'classifier__max_depth': 7, 'classifier__min_samples_leaf': 4, 'classifier__min_samples_split': 5, 'classifier__n_estimators': 200}",0.8525798525798526,0.927437641723356,0.8888888888888888,0.8736842105263158,0.9085714285714286,0.8902324044579684,0.026130104878572542,8
0.22462658882141112,0.007220524470776696,0.0156890869140625,0.0015950932464680468,gini,7,4,10,100,"{'classifier__criterion': 'gini', 'classifier__max_depth': 7, 'classifier__min_samples_leaf': 4, 'classifier__min_samples_split': 10, 'classifier__n_estimators': 100}",0.8525798525798526,0.9142346634901727,0.8888888888888888,0.8693877551020408,0.9085714285714286,0.8867325177264768,0.023260272191902152,34
0.4388101577758789,0.01268661706351062,0.02237224578857422,0.001292509403919747,gini,7,4,10,200,"{'classifier__criterion': 'gini', 'classifier__max_depth': 7, 'classifier__min_samples_leaf': 4, 'classifier__min_samples_split': 10, 'classifier__n_estimators': 200}",0.8525798525798526,0.927437641723356,0.8888888888888888,0.8820638820638821,0.9085714285714286,0.8919083387654816,0.025269547528650415,2
0.22466869354248048,0.0084971735964676,0.021874475479125976,0.009323773444854282,gini,10,1,2,100,"{'classifier__criterion': 'gini', 'classifier__max_depth': 10, 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 2, 'classifier__n_estimators': 100}",0.8294298174769827,0.9052631578947368,0.8651474949274232,0.7948717948717949,0.8632478632478633,0.8515920256837604,0.037171353982624694,144
0.4687968730926514,0.02200358769861128,0.022681760787963866,0.0010919670600103009,gini,10,1,2,200,"{'classifier__criterion': 'gini', 'classifier__max_depth': 10, 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 2, 'classifier__n_estimators': 200}",0.8294298174769827,0.9224680988531739,0.8820638820638821,0.8158674803836095,0.882824760244115,0.8665308078043527,0.03893329177080937,136
0.24355902671813964,0.011590272119462102,0.021449708938598634,0.004323650808898975,gini,10,1,5,100,"{'classifier__criterion': 'gini', 'classifier__max_depth': 10, 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 5, 'classifier__n_estimators': 100}",0.8525798525798526,0.8984126984126983,0.8856462179868969,0.8359535201640464,0.882824760244115,0.871083409877522,0.023122783068867732,125
0.4657529354095459,0.03457111973158328,0.023564481735229494,0.00172441515576396,gini,10,1,5,200,"{'classifier__criterion': 'gini', 'classifier__max_depth': 10, 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 5, 'classifier__n_estimators': 200}",0.8525798525798526,0.9250819416263463,0.9013939838591343,0.8421052631578947,0.882824760244115,0.8807971602934686,0.030603142057019375,73
